id,isAvailable,providerId,serviceId
1,1,1,1
2,0,2,1
3,0,3,1
4,1,4,1
5,1,5,1
6,1,1,2
7,0,2,2
8,0,3,2
9,1,4,2
10,1,5,2
11,0,1,3
12,0,2,3
13,1,3,3
14,1,4,3
15,1,5,3
16,1,1,4
17,0,2,4
18,0,3,4
19,0,4,4
20,1,5,4
21,1,1,5
22,1,2,5
23,1,3,5
24,1,4,5
25,0,5,5
26,0,1,6
27,0,2,6
28,1,3,6
29,1,4,6
30,1,5,6
31,1,1,7
32,0,2,7
33,0,3,7
34,1,4,7
35,1,5,7
36,1,1,8
37,0,2,8
38,0,3,8
39,1,4,8
40,0,5,8
41,1,1,9
42,0,2,9
43,0,3,9
44,0,4,9
45,1,5,9
46,1,1,10
47,1,2,10
48,0,3,10
49,1,4,10
50,1,5,10
51,1,1,11
52,1,2,11
53,1,3,11
54,1,4,11
55,1,5,11
